"feature" "subject_activity" "average"
"tBodyGyroJerk-mean()-Y" "10" -0.0424219983671769
"tBodyGyroJerk-mean()-Z" "10" -0.0555521277515646
"tBodyGyroJerk-std()-X" "10" -0.703243499727891
"tBodyGyroJerk-std()-Y" "10" -0.768641779047619
"tBodyGyroJerk-std()-Z" "10" -0.686800252738095
"tBodyAccMag-mean()" "10" -0.502500207000204
"tBodyAccMag-std()" "10" -0.545348810631551
"tGravityAccMag-mean()" "10" -0.502500207000204
"tGravityAccMag-std()" "10" -0.545348810631551
"tBodyAccJerkMag-mean()" "10" -0.57776193128833
"tBodyAccJerkMag-std()" "10" -0.529340480130272
"tBodyGyroMag-mean()" "10" -0.521819802352381
"tBodyGyroMag-std()" "10" -0.624408369413333
"tBodyGyroJerkMag-mean()" "10" -0.734465805340136
"tBodyGyroJerkMag-std()" "10" -0.768821828979592
"fBodyAcc-mean()-X" "10" -0.532289464513605
"fBodyAcc-mean()-Y" "10" -0.494651474235034
"fBodyAcc-mean()-Z" "10" -0.655062273211565
"fBodyAcc-std()-X" "10" -0.541170169070068
"fBodyAcc-std()-Y" "10" -0.532135172812313
"fBodyAcc-std()-Z" "10" -0.625871772082993
"fBodyAcc-meanFreq()-X" "10" -0.156150832113776
"fBodyAcc-meanFreq()-Y" "10" 0.0948129948809524
"fBodyAcc-meanFreq()-Z" "10" 0.150687015615519
"fBodyAccJerk-mean()-X" "10" -0.547243039827891
"fBodyAccJerk-mean()-Y" "10" -0.555104553563503
"fBodyAccJerk-mean()-Z" "10" -0.721689700769728
"fBodyAccJerk-std()-X" "10" -0.553403478735408
"fBodyAccJerk-std()-Y" "10" -0.556271725483333
"fBodyAccJerk-std()-Z" "10" -0.77916817122449
"fBodyAccJerk-meanFreq()-X" "10" -0.0313012983494898
"fBodyAccJerk-meanFreq()-Y" "10" -0.148940675963605
"fBodyAccJerk-meanFreq()-Z" "10" 0.0112385060119048
"fBodyGyro-mean()-X" "10" -0.620379208870442
"fBodyGyro-mean()-Y" "10" -0.64835059542517
"fBodyGyro-mean()-Z" "10" -0.567456661721769
"fBodyGyro-std()-X" "10" -0.692654261914966
"fBodyGyro-std()-Y" "10" -0.565943677806122
"fBodyGyro-std()-Z" "10" -0.645947720476871
"fBodyGyro-meanFreq()-X" "10" -0.0663150945743537
"fBodyGyro-meanFreq()-Y" "10" -0.0881515905938775
"fBodyGyro-meanFreq()-Z" "10" -0.0500743540119048
"fBodyAccMag-mean()" "10" -0.518734046961905
"fBodyAccMag-std()" "10" -0.633196110969728
"fBodyAccMag-meanFreq()" "10" 0.173253569411224
"fBodyBodyAccJerkMag-mean()" "10" -0.515140810846939
"fBodyBodyAccJerkMag-std()" "10" -0.553027359614864
"fBodyBodyAccJerkMag-meanFreq()" "10" 0.163072697936429
"fBodyBodyGyroMag-mean()" "10" -0.661496552826531
"fBodyBodyGyroMag-std()" "10" -0.666014612598639
"fBodyBodyGyroMag-meanFreq()" "10" 0.0120855942278469
"fBodyBodyGyroJerkMag-mean()" "10" -0.767780095068027
"fBodyBodyGyroJerkMag-std()" "10" -0.787144257176871
"fBodyBodyGyroJerkMag-meanFreq()" "10" 0.153580253720748
"tBodyAcc-mean()-X" "11" 0.27658531139557
"tBodyAcc-mean()-Y" "11" -0.0191272531933228
"tBodyAcc-mean()-Z" "11" -0.108941761642405
"tBodyAcc-std()-X" "11" -0.58947649779557
"tBodyAcc-std()-Y" "11" -0.490379346996835
"tBodyAcc-std()-Z" "11" -0.665324314227848
"tGravityAcc-mean()-X" "11" 0.730526184936709
"tGravityAcc-mean()-Y" "11" 0.0527387028613924
"tGravityAcc-mean()-Z" "11" 0.140209861246835
"tGravityAcc-std()-X" "11" -0.975394457689873
"tGravityAcc-std()-Y" "11" -0.957138770727848
"tGravityAcc-std()-Z" "11" -0.956812000411392
"tBodyAccJerk-mean()-X" "11" 0.0830134540658228
"tBodyAccJerk-mean()-Y" "11" 0.0078044254343038
"tBodyAccJerk-mean()-Z" "11" -0.00657424975259494
"tBodyAccJerk-std()-X" "11" -0.659323083055063
"tBodyAccJerk-std()-Y" "11" -0.608784226719937
"tBodyAccJerk-std()-Z" "11" -0.842511816044304
"tBodyGyro-mean()-X" "11" -0.0547328440272468
"tBodyGyro-mean()-Y" "11" -0.0582275770813291
"tBodyGyro-mean()-Z" "11" 0.087284109682356
"tBodyGyro-std()-X" "11" -0.739922126628797
"tBodyGyro-std()-Y" "11" -0.703501766487342
"tBodyGyro-std()-Z" "11" -0.725016008797468
"tBodyGyroJerk-mean()-X" "11" -0.0805473309873418
"tBodyGyroJerk-mean()-Y" "11" -0.0493914065474684
"tBodyGyroJerk-mean()-Z" "11" -0.0480140167267405
"tBodyGyroJerk-std()-X" "11" -0.781738140601266
"tBodyGyroJerk-std()-Y" "11" -0.868377254082279
"tBodyGyroJerk-std()-Z" "11" -0.795490882468354
"tBodyAccMag-mean()" "11" -0.542825032813608
"tBodyAccMag-std()" "11" -0.612882270912658
"tGravityAccMag-mean()" "11" -0.542825032813608
"tGravityAccMag-std()" "11" -0.612882270912658
"tBodyAccJerkMag-mean()" "11" -0.679819504547468
"tBodyAccJerkMag-std()" "11" -0.664241760370253
"tBodyGyroMag-mean()" "11" -0.628367851066456
"tBodyGyroMag-std()" "11" -0.696771378957911
"tBodyGyroJerkMag-mean()" "11" -0.826829028481013
"tBodyGyroJerkMag-std()" "11" -0.866905012626582
"fBodyAcc-mean()-X" "11" -0.619524028324684
"fBodyAcc-mean()-Y" "11" -0.531455265662532
"fBodyAcc-mean()-Z" "11" -0.750026145791139
"fBodyAcc-std()-X" "11" -0.579491754749367
"fBodyAcc-std()-Y" "11" -0.502570240243354
"fBodyAcc-std()-Z" "11" -0.652095671108544
"fBodyAcc-meanFreq()-X" "11" -0.224360420717722
"fBodyAcc-meanFreq()-Y" "11" 0.0318551463759494
"fBodyAcc-meanFreq()-Z" "11" 0.0502783009075316
"fBodyAccJerk-mean()-X" "11" -0.676672987166456
"fBodyAccJerk-mean()-Y" "11" -0.632374688606013
"fBodyAccJerk-mean()-Z" "11" -0.825559590221519
"fBodyAccJerk-std()-X" "11" -0.672195644346519
"fBodyAccJerk-std()-Y" "11" -0.609444998247785
"fBodyAccJerk-std()-Z" "11" -0.858259630601266
"fBodyAccJerk-meanFreq()-X" "11" -0.0874254925382278
"fBodyAccJerk-meanFreq()-Y" "11" -0.242572597206013
"fBodyAccJerk-meanFreq()-Z" "11" -0.0992296316156962
"fBodyGyro-mean()-X" "11" -0.709949332117089
"fBodyGyro-mean()-Y" "11" -0.776852868955696
"fBodyGyro-mean()-Z" "11" -0.708842979272152
"fBodyGyro-std()-X" "11" -0.751758277167721
"fBodyGyro-std()-Y" "11" -0.670892713066772
"fBodyGyro-std()-Z" "11" -0.75596062835443
"fBodyGyro-meanFreq()-X" "11" -0.111874925112848
"fBodyGyro-meanFreq()-Y" "11" -0.181778028186076
"fBodyGyro-meanFreq()-Z" "11" -0.0810951668035443
"fBodyAccMag-mean()" "11" -0.611528074359177
"fBodyAccMag-std()" "11" -0.674470159009494
"fBodyAccMag-meanFreq()" "11" 0.12725035020425
"fBodyBodyAccJerkMag-mean()" "11" -0.656133473274684
"fBodyBodyAccJerkMag-std()" "11" -0.676925075857595
"fBodyBodyAccJerkMag-meanFreq()" "11" 0.158363551858133
"fBodyBodyGyroMag-mean()" "11" -0.757585939588608
"fBodyBodyGyroMag-std()" "11" -0.711267219682278
"fBodyBodyGyroMag-meanFreq()" "11" -0.10978179348269
"fBodyBodyGyroJerkMag-mean()" "11" -0.864827011392405
"fBodyBodyGyroJerkMag-std()" "11" -0.879254016740506
"fBodyBodyGyroJerkMag-meanFreq()" "11" 0.11789211326962
"tBodyAcc-mean()-X" "12" 0.27360872421875
"tBodyAcc-mean()-Y" "12" -0.018337204411489
"tBodyAcc-mean()-Z" "12" -0.106649116775
"tBodyAcc-std()-X" "12" -0.583962207065
"tBodyAcc-std()-Y" "12" -0.522040023435
"tBodyAcc-std()-Z" "12" -0.699293531365625
"tGravityAcc-mean()-X" "12" 0.69922245131875
"tGravityAcc-mean()-Y" "12" 0.029976775735
"tGravityAcc-mean()-Z" "12" 0.0330295544910625
"tGravityAcc-std()-X" "12" -0.96738343446875
"tGravityAcc-std()-Y" "12" -0.9605729084375
"tGravityAcc-std()-Z" "12" -0.9468085636875
"tBodyAccJerk-mean()-X" "12" 0.070430311315625
"tBodyAccJerk-mean()-Y" "12" 0.0053115377979375
"tBodyAccJerk-mean()-Z" "12" 0.0003081123684
"tBodyAccJerk-std()-X" "12" -0.582418267596875
"tBodyAccJerk-std()-Y" "12" -0.571359817082031
"tBodyAccJerk-std()-Z" "12" -0.79262193625
"tBodyGyro-mean()-X" "12" -0.0628663472537188
"tBodyGyro-mean()-Y" "12" -0.0592027333975
"tBodyGyro-mean()-Z" "12" 0.0960742146838125
"tBodyGyro-std()-X" "12" -0.727881704983125
"tBodyGyro-std()-Y" "12" -0.73506282621875
"tBodyGyro-std()-Z" "12" -0.671057678528125
"tBodyGyroJerk-mean()-X" "12" -0.0731134377315625
"tBodyGyroJerk-mean()-Y" "12" -0.043678823491875
"tBodyGyroJerk-mean()-Z" "12" -0.0574585039485312
"tBodyGyroJerk-std()-X" "12" -0.709726149496875
"tBodyGyroJerk-std()-Y" "12" -0.8112325993125
"tBodyGyroJerk-std()-Z" "12" -0.749351860259375
"tBodyAccMag-mean()" "12" -0.559586545675313
"tBodyAccMag-std()" "12" -0.5743864944925
"tGravityAccMag-mean()" "12" -0.559586545675313
"tGravityAccMag-std()" "12" -0.5743864944925
"tBodyAccJerkMag-mean()" "12" -0.6300504918575
"tBodyAccJerkMag-std()" "12" -0.566365683597188
"tBodyGyroMag-mean()" "12" -0.63166805889875
"tBodyGyroMag-std()" "12" -0.68485805678325
"tBodyGyroJerkMag-mean()" "12" -0.77729447821875
"tBodyGyroJerkMag-std()" "12" -0.7863865328125
"fBodyAcc-mean()-X" "12" -0.578920210879375
"fBodyAcc-mean()-Y" "12" -0.523287078731563
"fBodyAcc-mean()-Z" "12" -0.7266403145
"fBodyAcc-std()-X" "12" -0.586922577889687
"fBodyAcc-std()-Y" "12" -0.553076639139062
"fBodyAcc-std()-Z" "12" -0.709983235125
"fBodyAcc-meanFreq()-X" "12" -0.183738216351156
"fBodyAcc-meanFreq()-Y" "12" 0.0444598424159375
"fBodyAcc-meanFreq()-Z" "12" 0.0689109866546875
"fBodyAccJerk-mean()-X" "12" -0.599109317756219
"fBodyAccJerk-mean()-Y" "12" -0.591296422972219
"fBodyAccJerk-mean()-Z" "12" -0.7754265825625
"fBodyAccJerk-std()-X" "12" -0.602960063359688
"fBodyAccJerk-std()-Y" "12" -0.579168053712969
"fBodyAccJerk-std()-Z" "12" -0.80858300040625
"fBodyAccJerk-meanFreq()-X" "12" -0.046619864264875
"fBodyAccJerk-meanFreq()-Y" "12" -0.204694170128437
"fBodyAccJerk-meanFreq()-Z" "12" -0.097564019993875
"fBodyGyro-mean()-X" "12" -0.661246826087188
"fBodyGyro-mean()-Y" "12" -0.74479814778125
"fBodyGyro-mean()-Z" "12" -0.657369914584375
"fBodyGyro-std()-X" "12" -0.750393858303125
"fBodyGyro-std()-Y" "12" -0.7334567315
"fBodyGyro-std()-Z" "12" -0.70823315425
"fBodyGyro-meanFreq()-X" "12" -0.084349829508125
"fBodyGyro-meanFreq()-Y" "12" -0.107309871566031
"fBodyGyro-meanFreq()-Z" "12" -0.064849391596875
"fBodyAccMag-mean()" "12" -0.55928367746625
"fBodyAccMag-std()" "12" -0.65053328158
"fBodyAccMag-meanFreq()" "12" 0.0755926577467031
"fBodyBodyAccJerkMag-mean()" "12" -0.564239194378438
"fBodyBodyAccJerkMag-std()" "12" -0.571614888155312
"fBodyBodyAccJerkMag-meanFreq()" "12" 0.126323612300937
"fBodyBodyGyroMag-mean()" "12" -0.717311676745625
"fBodyBodyGyroMag-std()" "12" -0.719438065809375
"fBodyBodyGyroMag-meanFreq()" "12" -0.0455357170932187
"fBodyBodyGyroJerkMag-mean()" "12" -0.78990285099375
"fBodyBodyGyroJerkMag-std()" "12" -0.7973614576875
"fBodyBodyGyroJerkMag-meanFreq()" "12" 0.0705873609285625
"tBodyAcc-mean()-X" "13" 0.275895876198777
"tBodyAcc-mean()-Y" "13" -0.0176504796070948
"tBodyAcc-mean()-Z" "13" -0.109135285550765
"tBodyAcc-std()-X" "13" -0.624844460199083
"tBodyAcc-std()-Y" "13" -0.448816097853364
"tBodyAcc-std()-Z" "13" -0.587230562129052
"tGravityAcc-mean()-X" "13" 0.709996516908257
"tGravityAcc-mean()-Y" "13" -0.0420858101162079
"tGravityAcc-mean()-Z" "13" 0.0443010536786239
"tGravityAcc-std()-X" "13" -0.967268063455658
"tGravityAcc-std()-Y" "13" -0.953540716850153
"tGravityAcc-std()-Z" "13" -0.938727880275229
"tBodyAccJerk-mean()-X" "13" 0.0794393034550306
"tBodyAccJerk-mean()-Y" "13" 0.00387961953328135
"tBodyAccJerk-mean()-Z" "13" -0.0123485923641621
"tBodyAccJerk-std()-X" "13" -0.638889532599083
"tBodyAccJerk-std()-Y" "13" -0.569700547488012
"tBodyAccJerk-std()-Z" "13" -0.728452966311927
"tBodyGyro-mean()-X" "13" -0.0562470618980061
"tBodyGyro-mean()-Y" "13" -0.0616613787494801
"tBodyGyro-mean()-Z" "13" 0.098866059686422
"tBodyGyro-std()-X" "13" -0.715109859672783
"tBodyGyro-std()-Y" "13" -0.645728612088685
"tBodyGyro-std()-Z" "13" -0.643337285033639
"tBodyGyroJerk-mean()-X" "13" -0.0881182379434251
"tBodyGyroJerk-mean()-Y" "13" -0.0440836605146789
"tBodyGyroJerk-mean()-Z" "13" -0.0582718748712538
"tBodyGyroJerk-std()-X" "13" -0.715772980189602
"tBodyGyroJerk-std()-Y" "13" -0.718988591831804
"tBodyGyroJerk-std()-Z" "13" -0.712716428498471
"tBodyAccMag-mean()" "13" -0.539871637249541
"tBodyAccMag-std()" "13" -0.597230982062691
"tGravityAccMag-mean()" "13" -0.539871637249541
"tGravityAccMag-std()" "13" -0.597230982062691
"tBodyAccJerkMag-mean()" "13" -0.625466938809174
"tBodyAccJerkMag-std()" "13" -0.610248540269939
"tBodyGyroMag-mean()" "13" -0.581215403184709
"tBodyGyroMag-std()" "13" -0.636364939544342
"tBodyGyroJerkMag-mean()" "13" -0.712745036012232
"tBodyGyroJerkMag-std()" "13" -0.712056186747706
"fBodyAcc-mean()-X" "13" -0.638817912651682
"fBodyAcc-mean()-Y" "13" -0.493467193137125
"fBodyAcc-mean()-Z" "13" -0.629736258731804
"fBodyAcc-std()-X" "13" -0.620602036452599
"fBodyAcc-std()-Y" "13" -0.462584458627829
"fBodyAcc-std()-Z" "13" -0.599036895271407
"fBodyAcc-meanFreq()-X" "13" -0.222056646711315
"fBodyAcc-meanFreq()-Y" "13" -0.0348311463927523
"fBodyAcc-meanFreq()-Z" "13" 0.0487260271941896
"fBodyAccJerk-mean()-X" "13" -0.66008217407156
"fBodyAccJerk-mean()-Y" "13" -0.603340489937615
"fBodyAccJerk-mean()-Z" "13" -0.710831730361468
"fBodyAccJerk-std()-X" "13" -0.649606227431844
"fBodyAccJerk-std()-Y" "13" -0.562129866937645
"fBodyAccJerk-std()-Z" "13" -0.744823539571865
"fBodyAccJerk-meanFreq()-X" "13" -0.0241961823456881
"fBodyAccJerk-meanFreq()-Y" "13" -0.238328546685321
"fBodyAccJerk-meanFreq()-Z" "13" -0.120605488176024
"fBodyGyro-mean()-X" "13" -0.65864242140581
"fBodyGyro-mean()-Y" "13" -0.647152817899388
"fBodyGyro-mean()-Z" "13" -0.620471226529052
"fBodyGyro-std()-X" "13" -0.734657989051988
"fBodyGyro-std()-Y" "13" -0.650623558847401
"fBodyGyro-std()-Z" "13" -0.685774481529052
"fBodyGyro-meanFreq()-X" "13" -0.112645469406422
"fBodyGyro-meanFreq()-Y" "13" -0.0806130190608563
"fBodyGyro-meanFreq()-Z" "13" -0.00505036969339144
"fBodyAccMag-mean()" "13" -0.589928108599083
"fBodyAccMag-std()" "13" -0.665344858593272
"fBodyAccMag-meanFreq()" "13" 0.0849475684648318
"fBodyBodyAccJerkMag-mean()" "13" -0.607295296423853
"fBodyBodyAccJerkMag-std()" "13" -0.617075473106453
"fBodyBodyAccJerkMag-meanFreq()" "13" 0.182861249947095
"fBodyBodyGyroMag-mean()" "13" -0.652225306544343
"fBodyBodyGyroMag-std()" "13" -0.691915161336391
"fBodyBodyGyroMag-meanFreq()" "13" 0.0625891805875841
"fBodyBodyGyroJerkMag-mean()" "13" -0.712054366504281
"fBodyBodyGyroJerkMag-std()" "13" -0.733183567759939
"fBodyBodyGyroJerkMag-meanFreq()" "13" 0.157417463421743
"tBodyAcc-mean()-X" "14" 0.270184596009288
"tBodyAcc-mean()-Y" "14" -0.0162548178510526
"tBodyAcc-mean()-Z" "14" -0.100985935692074
"tBodyAcc-std()-X" "14" -0.611671118216099
"tBodyAcc-std()-Y" "14" -0.374730765205077
"tBodyAcc-std()-Z" "14" -0.29354271467452
"tGravityAcc-mean()-X" "14" 0.672081224882353
"tGravityAcc-mean()-Y" "14" -0.111701388781115
"tGravityAcc-mean()-Z" "14" -0.161179728291022
"tGravityAcc-std()-X" "14" -0.941245714736842
"tGravityAcc-std()-Y" "14" -0.942377305312693
"tGravityAcc-std()-Z" "14" -0.915927846160991
"tBodyAccJerk-mean()-X" "14" 0.0741757467665015
"tBodyAccJerk-mean()-Y" "14" 0.00443682723817957
"tBodyAccJerk-mean()-Z" "14" -0.00253044692473994
"tBodyAccJerk-std()-X" "14" -0.641964198633003
"tBodyAccJerk-std()-Y" "14" -0.586459622773684
"tBodyAccJerk-std()-Z" "14" -0.656855586102105
"tBodyGyro-mean()-X" "14" 0.000253671358297214
"tBodyGyro-mean()-Y" "14" -0.0954921154823529
"tBodyGyro-mean()-Z" "14" 0.0606712446996904
"tBodyGyro-std()-X" "14" -0.728661379340557
"tBodyGyro-std()-Y" "14" -0.398959362766099
"tBodyGyro-std()-Z" "14" -0.364478192502167
"tBodyGyroJerk-mean()-X" "14" -0.107556127062003
"tBodyGyroJerk-mean()-Y" "14" -0.0433200489340217
"tBodyGyroJerk-mean()-Z" "14" -0.0450693836894427
"tBodyGyroJerk-std()-X" "14" -0.7862917325387
"tBodyGyroJerk-std()-Y" "14" -0.6979155314613
"tBodyGyroJerk-std()-Z" "14" -0.638299064788854
"tBodyAccMag-mean()" "14" -0.453262620331889
"tBodyAccMag-std()" "14" -0.474058613408978
"tGravityAccMag-mean()" "14" -0.453262620331889
"tGravityAccMag-std()" "14" -0.474058613408978
"tBodyAccJerkMag-mean()" "14" -0.608973420309907
"tBodyAccJerkMag-std()" "14" -0.605144269857245
"tBodyGyroMag-mean()" "14" -0.416459776709257
"tBodyGyroMag-std()" "14" -0.471486714606811
"tBodyGyroJerkMag-mean()" "14" -0.700520939854799
"tBodyGyroJerkMag-std()" "14" -0.727023009383901
"fBodyAcc-mean()-X" "14" -0.619513271851703
"fBodyAcc-mean()-Y" "14" -0.455237617000929
"fBodyAcc-mean()-Z" "14" -0.440650672343653
"fBodyAcc-std()-X" "14" -0.609406374110062
"fBodyAcc-std()-Y" "14" -0.376829989404644
"fBodyAcc-std()-Z" "14" -0.275013722171486
"fBodyAcc-meanFreq()-X" "14" -0.319171141631269
"fBodyAcc-meanFreq()-Y" "14" -0.15308350824613
"fBodyAcc-meanFreq()-Z" "14" -0.107844299474303
"fBodyAccJerk-mean()-X" "14" -0.654385009392879
"fBodyAccJerk-mean()-Y" "14" -0.598699531399381
"fBodyAccJerk-mean()-Z" "14" -0.618712162187307
"fBodyAccJerk-std()-X" "14" -0.661460356953251
"fBodyAccJerk-std()-Y" "14" -0.60215894382322
"fBodyAccJerk-std()-Z" "14" -0.694424996467802
"fBodyAccJerk-meanFreq()-X" "14" -0.148657336754489
"fBodyAccJerk-meanFreq()-Y" "14" -0.305355379229102
"fBodyAccJerk-meanFreq()-Z" "14" -0.239200679844272
"fBodyGyro-mean()-X" "14" -0.699166400749226
"fBodyGyro-mean()-Y" "14" -0.50463317018839
"fBodyGyro-mean()-Z" "14" -0.42391821438452
"fBodyGyro-std()-X" "14" -0.740052209854489
"fBodyGyro-std()-Y" "14" -0.348864187370186
"fBodyGyro-std()-Z" "14" -0.407672097170898
"fBodyGyro-meanFreq()-X" "14" -0.241341060754489
"fBodyGyro-meanFreq()-Y" "14" -0.345434763249536
"fBodyGyro-meanFreq()-Z" "14" -0.212818474897214
"fBodyAccMag-mean()" "14" -0.490874179820433
"fBodyAccMag-std()" "14" -0.548269930770588
"fBodyAccMag-meanFreq()" "14" -0.0600681274123529
"fBodyBodyAccJerkMag-mean()" "14" -0.596896308848452
"fBodyBodyAccJerkMag-std()" "14" -0.619215144539319
"fBodyBodyAccJerkMag-meanFreq()" "14" 0.137239545472136
"fBodyBodyGyroMag-mean()" "14" -0.543030528985449
"fBodyBodyGyroMag-std()" "14" -0.516930495917399
"fBodyBodyGyroMag-meanFreq()" "14" -0.138544755393189
"fBodyBodyGyroJerkMag-mean()" "14" -0.717590101802972
"fBodyBodyGyroJerkMag-std()" "14" -0.760560087962848
"fBodyBodyGyroJerkMag-meanFreq()" "14" 0.0907579516695975
"tBodyAcc-mean()-X" "15" 0.27821340725
"tBodyAcc-mean()-Y" "15" -0.016464484771311
"tBodyAcc-mean()-Z" "15" -0.112563587594512
"tBodyAcc-std()-X" "15" -0.556541173089329
"tBodyAcc-std()-Y" "15" -0.481679537956006
"tBodyAcc-std()-Z" "15" -0.705706623868902
"tGravityAcc-mean()-X" "15" 0.688872511512195
"tGravityAcc-mean()-Y" "15" 0.102660491875
"tGravityAcc-mean()-Z" "15" 0.0372897701757012
